time;temp
37440;-0.23
37500;-0.29
37560;-0.29
37620;-0.24
37680;-0.29
37740;-0.34
37800;-0.21
37860;-0.23
37920;-0.29
37980;-0.25
38040;-0.31
38100;-0.44
38160;-0.21
38220;-0.02
38280;-0.29
38340;-0.3
38400;-0.09
38460;-0.15
38520;-0.1
38580;-0.12
38640;-0.15
38700;-0.06
38760;0.04
38820;-0.02
38880;-0.33
38940;0.14
39000;-0.14
39060;-0.36
39120;-0.28
39180;-0.26
39240;-0.21
39300;-0.22
39360;-0.21
39420;-0.05
39480;-0.26
39540;-0.16
39600;-0.27
39660;-0.37
39720;-0.2
39780;-0.2
39840;-0.16
39900;-0.21
39960;-0.09
40020;-0.13
40080;-0.09
40140;-0.02
40200;0.02
40260;0.0
40320;-0.07
40380;0.03
40440;-0.2
40500;-0.15
40560;-0.05
40620;-0.05
40680;-0.03
40740;0.02
40800;0.09
40860;0.09
40920;0.09
40980;-0.07
41040;0.08
41100;0.03
41160;0.1
41220;0.06
41280;-0.09
41340;-0.17
41400;-0.09
41460;-0.05
41520;0.01
41580;0.15
41640;0.08
41700;-0.12
41760;-0.05
41820;-0.06
41880;-0.17
41940;-0.09
42000;-0.04
42060;-0.07
42120;-0.06
42180;-0.06
42240;-0.07
42300;-0.03
42360;0.07
42420;0.44
42480;0.0
42540;0.08
42600;0.09
42660;0.18
42720;0.11
42780;0.12
42840;0.13
42900;0.07
42960;0.15
43020;0.12
43080;0.17
43140;0.32
43200;0.18
43260;0.31
43320;0.1
43380;0.17
43440;0.17
43500;0.13
43560;0.22
43620;0.15
43680;0.02
43740;0.35
43800;0.23
43860;0.22
43920;0.29
43980;0.03
44040;0.05
44100;0.09
44160;0.11
44220;0.05
44280;0.0
44340;-0.04
44400;-0.03
44460;0.02
44520;0.1
44580;0.13
44640;-0.01
44700;0.17
44760;-0.03
44820;0.11
44880;0.07
44940;-0.05
45000;0.09
45060;0.01
45120;0.05
45180;0.23
45240;0.2
45300;0.24
45360;0.36
45420;0.25
